T [s],p [Pa]
0.063583,-0.0066232
0.063667,-0.0058265
0.06375,-0.0050568
0.063833,-0.0048043
0.063917,-0.0044819
0.064,-0.0039852
0.064083,-0.0037703
0.064167,-0.0038496
0.06425,-0.0040907
0.064333,-0.0043189
0.064417,-0.0044937
0.0645,-0.0048625
0.064583,-0.0053649
0.064667,-0.0056936
0.06475,-0.0060385
0.064833,-0.0064872
0.064917,-0.0068685
0.065,-0.0073761
0.065083,-0.0080885
0.065167,-0.0087961
0.06525,-0.0092193
0.065333,-0.0093864
0.065417,-0.0094688
0.0655,-0.0094471
0.065583,-0.0094088
0.065667,-0.0092378
0.06575,-0.008874
0.065833,-0.0084916
0.065917,-0.008171
0.066,-0.0080322
0.066083,-0.0079698
0.066167,-0.0075863
0.06625,-0.0067773
0.066333,-0.0059508
0.066417,-0.0052919
0.0665,-0.0045551
0.066583,-0.0037897
0.066667,-0.0032985
0.06675,-0.003027
0.066833,-0.0028661
0.066917,-0.0028253
0.067,-0.0028661
0.067083,-0.0031952
0.067167,-0.0035398
0.06725,-0.0035536
0.067333,-0.0036749
0.067417,-0.0039313
0.0675,-0.0039807
0.067583,-0.0039854
0.067667,-0.0041145
0.06775,-0.0040712
0.067833,-0.0038386
0.067917,-0.0039187
0.068,-0.0042437
0.068083,-0.0043918
0.068167,-0.0044415
0.06825,-0.0044262
0.068333,-0.0042334
0.068417,-0.003952
0.0685,-0.0036086
0.068583,-0.0032982
0.068667,-0.0029087
0.06875,-0.0021669
0.068833,-0.0013839
0.068917,-0.0007704
0.069,-0.0002622
0.069083,0.00020352
0.069167,0.00078438
0.06925,0.0012849
0.069333,0.0016897
0.069417,0.0021987
0.0695,0.0025684
0.069583,0.0026849
0.069667,0.0027224
0.06975,0.0024525
0.069833,0.0018759
0.069917,0.0015479
0.07,0.0013934
0.070083,0.0011739
0.070167,0.0010419
0.07025,0.00092356
0.070333,0.00071924
0.070417,0.00040114
0.0705,0.00020033
0.070583,0.00013877
0.070667,-0.00025013
0.07075,-0.00084299
0.070833,-0.0013297
0.070917,-0.0017063
0.071,-0.0018964
0.071083,-0.0020502
0.071167,-0.0023436
0.07125,-0.0025542
0.071333,-0.0026801
0.071417,-0.0028675
0.0715,-0.0030061
0.071583,-0.0030442
0.071667,-0.0028939
0.07175,-0.0026217
0.071833,-0.0023551
0.071917,-0.0021234
0.072,-0.0019248
0.072083,-0.0016013
0.072167,-0.0009972
0.07225,-0.00027895
0.072333,0.00014613
0.072417,0.00044405
0.0725,0.00076114
0.072583,0.00087445
0.072667,0.0007881
0.07275,0.00059016
0.072833,0.00052152
0.072917,0.00031156
0.073,-0.00014582
0.073083,-0.00025833
0.073167,-0.00014468
0.07325,2.07E-05
0.073333,0.0002779
0.073417,0.00045916
0.0735,0.00051671
0.073583,0.00052755
0.073667,0.00072262
0.07375,0.0008707
0.073833,0.00090747
0.073917,0.0010611
0.074,0.0011788
0.074083,0.0014199
0.074167,0.0017758
0.07425,0.0019791
0.074333,0.0021509
0.074417,0.0022594
0.0745,0.002082
0.074583,0.0019563
0.074667,0.0021193
0.07475,0.0022089
0.074833,0.0022778
