Time [s],P [Pa]
0.08275,0.037312
0.082833,-0.040989
0.082917,-0.065125
0.083,0.00027013
0.083083,0.061484
0.083167,0.032031
0.08325,-0.046144
0.083333,-0.060126
0.083417,0.010424
0.0835,0.063918
0.083583,0.024056
0.083667,-0.05235
0.08375,-0.055389
0.083833,0.018499
0.083917,0.063574
0.084,0.016028
0.084083,-0.056217
0.084167,-0.048826
0.08425,0.027211
0.084333,0.06411
0.084417,0.0091617
0.0845,-0.060708
0.084583,-0.04384
0.084667,0.036276
0.08475,0.064556
0.084833,-9.89E-05
0.084917,-0.065372
0.085,-0.036867
0.085083,0.044209
0.085167,0.062659
0.08525,-0.008248
0.085333,-0.068284
0.085417,-0.030614
0.0855,0.051812
0.085583,0.061796
0.085667,-0.016064
0.08575,-0.070505
0.085833,-0.022543
0.085917,0.059217
0.086,0.058696
0.086083,-0.023448
0.086167,-0.069528
0.08625,-0.013504
0.086333,0.064372
0.086417,0.054616
0.0865,-0.028462
0.086583,-0.06637
0.086667,-0.005221
0.08675,0.067422
0.086833,0.049197
0.086917,-0.033848
0.087,-0.062837
0.087083,0.0029291
0.087167,0.068527
0.08725,0.042915
0.087333,-0.036472
0.087417,-0.056839
0.0875,0.010451
0.087583,0.069738
0.087667,0.038458
0.08775,-0.039546
0.087833,-0.053149
0.087917,0.017299
0.088,0.070706
0.088083,0.031694
0.088167,-0.044249
0.08825,-0.048545
0.088333,0.024262
0.088417,0.069823
0.0885,0.024157
0.088583,-0.047986
0.088667,-0.044
0.08875,0.030745
0.088833,0.070664
0.088917,0.018203
0.089,-0.051997
0.089083,-0.038458
0.089167,0.0381
0.08925,0.068459
0.089333,0.0087557
0.089417,-0.05701
0.0895,-0.033524
0.089583,0.044487
0.089667,0.06476
0.08975,-0.0012719
0.089833,-0.059387
0.089917,-0.026301
0.09,0.050225
0.090083,0.06097
0.090167,-0.011212
0.09025,-0.063896
0.090333,-0.020362
0.090417,0.056532
0.0905,0.055871
0.090583,-0.022856
0.090667,-0.065646
0.09075,-0.010391
0.090833,0.062025
0.090917,0.048959
0.091,-0.031265
0.091083,-0.0641
0.091167,-0.0020872
0.09125,0.065725
0.091333,0.042874
0.091417,-0.039439
0.0915,-0.063439
0.091583,0.005939
0.091667,0.069184
0.09175,0.035729
0.091833,-0.048055
0.091917,-0.061474
0.092,0.015138
0.092083,0.071778
0.092167,0.028255
0.09225,-0.053355
0.092333,-0.055736
0.092417,0.024366
0.0925,0.072986
0.092583,0.020788
0.092667,-0.059049
0.09275,-0.051114
0.092833,0.033047
0.092917,0.072739
0.093,0.01171
0.093083,-0.062652
0.093167,-0.043147
0.09325,0.040275
0.093333,0.069037
0.093417,0.004021
0.0935,-0.062847
0.093583,-0.036023
0.093667,0.045184
0.09375,0.065136
0.093833,-0.0044803
0.093917,-0.064355
0.094,-0.027697
0.094083,0.052442
0.094167,0.062341
0.09425,-0.012899
0.094333,-0.066082
0.094417,-0.019184
0.0945,0.059683
0.094583,0.058148
0.094667,-0.022011
0.09475,-0.066713
0.094833,-0.010663
0.094917,0.06506
0.095,0.052302
0.095083,-0.030841
0.095167,-0.065412
0.09525,-0.0015075
0.095333,0.068981
0.095417,0.046674
0.0955,-0.036112
0.095583,-0.060635
0.095667,0.0081439
0.09575,0.071961
0.095833,0.041235
0.095917,-0.040991
0.096,-0.0569
0.096083,0.01643
0.096167,0.073565
0.09625,0.034073
0.096333,-0.046256
0.096417,-0.052973
0.0965,0.02309
0.096583,0.073075
0.096667,0.026026
0.09675,-0.051889
0.096833,-0.049318
0.096917,0.029097
0.097,0.071124
0.097083,0.017354
0.097167,-0.056479
0.09725,-0.044552
0.097333,0.035563
0.097417,0.069176
0.0975,0.0086677
0.097583,-0.059975
0.097667,-0.038583
0.09775,0.041263
0.097833,0.065813
0.097917,2.04E-05
0.098,-0.06329
0.098083,-0.033889
0.098167,0.045044
0.09825,0.060519
0.098333,-0.0099327
0.098417,-0.065737
0.0985,-0.027108
0.098583,0.04939
0.098667,0.054926
0.09875,-0.018551
0.098833,-0.066159
0.098917,-0.019458
0.099,0.054066
0.099083,0.049286
0.099167,-0.02795
0.09925,-0.067104
0.099333,-0.011836
0.099417,0.057608
0.0995,0.041016
0.099583,-0.03904
0.099667,-0.067174
0.09975,-0.003301
0.099833,0.059581
0.099917,0.031922
0.1,-0.047166
0.10008,-0.064649
0.10017,0.0034976
0.10025,0.058935
0.10033,0.023394
0.10042,-0.053588
0.1005,-0.062221
0.10058,0.0099113
0.10067,0.059123
0.10075,0.015085
0.10083,-0.060123
0.10092,-0.058026
0.101,0.017877
0.10108,0.058581
0.10117,0.00686
0.10125,-0.065005
0.10133,-0.054554
0.10142,0.023645
0.1015,0.057812
0.10158,-0.002116
0.10167,-0.07229
0.10175,-0.051034
0.10183,0.030918
0.10192,0.055714
0.102,-0.012152
0.10208,-0.076622
0.10217,-0.044907
0.10225,0.036841
0.10233,0.051663
0.10242,-0.020881
0.1025,-0.077304
0.10258,-0.03691
0.10267,0.041716
0.10275,0.047021
0.10283,-0.028697
0.10292,-0.07751
0.103,-0.028223
0.10308,0.048085
0.10317,0.042744
0.10325,-0.036379
0.10333,-0.075643
0.10342,-0.017772
0.1035,0.053613
0.10358,0.036834
0.10367,-0.044784
0.10375,-0.074103
0.10383,-0.0073781
0.10392,0.059541
0.104,0.030837
0.10408,-0.05339
0.10417,-0.071304
0.10425,0.0042283
0.10433,0.06414
0.10442,0.023579
0.1045,-0.059616
0.10458,-0.06585
0.10467,0.014498
0.10475,0.066232
0.10483,0.016966
0.10492,-0.062899
0.105,-0.059219
0.10508,0.022476
0.10517,0.065447
0.10525,0.009524
0.10533,-0.066052
0.10542,-0.052333
0.1055,0.031163
0.10558,0.064785
0.10567,0.0018431
0.10575,-0.067961
0.10583,-0.043853
0.10592,0.03956
0.106,0.063191
0.10608,-0.0057025
0.10617,-0.069419
0.10625,-0.03512
0.10633,0.048556
0.10642,0.061838
0.1065,-0.013711
0.10658,-0.070607
0.10667,-0.025977
0.10675,0.056402
0.10683,0.058451
0.10692,-0.022931
0.107,-0.07153
0.10708,-0.01714
0.10717,0.061912
0.10725,0.053864
0.10733,-0.029851
0.10742,-0.069151
0.1075,-0.0063717
0.10758,0.067609
0.10767,0.047961
0.10775,-0.037452
0.10783,-0.066024
0.10792,0.0045109
0.108,0.072126
0.10808,0.040832
0.10817,-0.044767
0.10825,-0.061631
0.10833,0.015703
0.10842,0.076404
0.1085,0.033691
0.10858,-0.052558
0.10867,-0.057875
0.10875,0.026232
0.10883,0.078614
0.10892,0.024528
0.109,-0.05923
0.10908,-0.051426
0.10917,0.0374
0.10925,0.079787
0.10933,0.015703
0.10942,-0.063719
0.1095,-0.044409
0.10958,0.045134
0.10967,0.076287
0.10975,0.0048931
0.10983,-0.067808
0.10992,-0.037439
0.11,0.051004
0.11008,0.070473
0.11017,-0.0057267
